iter	Passed	Remaining
311	17841	10750
312	17905	10697
313	17963	10640
314	18014	10580
315	18070	10521
316	18127	10464
317	18184	10407
318	18239	10348
319	18296	10291
320	18348	10231
321	18403	10173
322	18460	10115
323	18511	10055
324	18568	9998
325	18624	9940
326	18687	9886
327	18738	9826
328	18790	9766
329	18839	9705
330	18899	9649
331	18950	9589
332	19001	9529
333	19063	9474
334	19114	9414
335	19164	9354
336	19221	9297
337	19274	9238
338	19336	9183
339	19394	9126
340	19454	9071
341	19513	9015
342	19571	8958
343	19640	8906
344	19700	8850
345	19765	8797
346	19825	8741
347	19881	8683
348	19945	8629
349	20000	8571
350	20055	8513
351	20107	8454
352	20167	8398
353	20219	8339
354	20272	8280
355	20336	8225
356	20396	8169
357	20454	8113
358	20506	8053
359	20562	7996
360	20618	7938
361	20677	7882
362	20731	7824
363	20787	7766
364	20848	7710
365	20899	7651
366	20956	7594
367	21011	7536
368	21065	7478
369	21123	7421
370	21177	7363
371	21228	7304
372	21284	7247
373	21338	7188
374	21400	7133
375	21460	7077
376	21515	7019
377	21569	6961
378	21619	6902
379	21674	6844
380	21727	6786
381	21778	6727
382	21832	6669
383	21883	6610
384	21939	6553
385	21998	6496
386	22058	6440
387	22116	6384
388	22166	6325
389	22217	6266
390	22272	6208
391	22330	6152
392	22388	6095
393	22451	6040
394	22505	5982
395	22560	5925
396	22623	5869
397	22675	5811
398	22750	5758
399	22799	5699
